gene,odds_ratio,p_value,clinical_present,wastewater_present,fdr_corrected_p
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7,0.0,9.050400722552133e-21,64,0,1.570244525362795e-17
gb|WP_063860005.1|ARO:3005597|CTX-M-174,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AHY20039.1|ARO:3002009|CTX-M-152,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|CAQ42486.1|ARO:3001937|CTX-M-76,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_114699284.1|ARO:3005644|CTX-M-221,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|ACR56321.1|ARO:3001949|CTX-M-89,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_061284984.1|ARO:3006927|KLUC-1,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|CAQ42481.2|ARO:3001939|CTX-M-78,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAM70498.1|ARO:3001887|CTX-M-25,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|BAD90119.1|ARO:3001924|CTX-M-63,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_087587947.1|ARO:3005622|CTX-M-199,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAX54694.1|ARO:3001901|CTX-M-39,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAF04388.1|ARO:3001871|CTX-M-8,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAY43008.1|ARO:3001903|CTX-M-41,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_168247876.1|ARO:3002010|CTX-M-153,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AJO16046.1|ARO:3003168|CTX-M-160,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AFQ94051.1|ARO:3001991|CTX-M-132,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAV28215.2|ARO:3001902|CTX-M-40,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|ADK11041.1|ARO:3001954|CTX-M-94,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_168247877.1|ARO:3005657|CTX-M-234,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAN73274.1|ARO:3008230|KLUG-1,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|BAF63422.1|ARO:3001925|CTX-M-64,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_065102278.1|ARO:3005608|CTX-M-185,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|ACX34099.1|ARO:3001951|CTX-M-91,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AFA51701.1|ARO:3001982|CTX-M-123,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|CBW46935.1|ARO:3001959|CTX-M-100,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAO61597.1|ARO:3001889|CTX-M-27,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAC32890.1|ARO:3001868|CTX-M-5,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_109791211.1|ARO:3005640|CTX-M-217,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AKR53960.1|ARO:3003649|CTX-M-165,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|BAO37256.1|ARO:3001994|CTX-M-137,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|AAN75444.1|ARO:3001888|CTX-M-26,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_099156053.1|ARO:3005628|CTX-M-205,0.0,7.392120363532296e-15,54,0,3.8864632820389494e-13
gb|WP_085562400.1|ARO:3005620|CTX-M-197,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_070064534.1|ARO:3001996|CTX-M-138,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABD73290.1|ARO:3001920|CTX-M-59,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_069280706.1|ARO:3005613|CTX-M-190,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABC18328.3|ARO:3001916|CTX-M-54,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABB17185.1|ARO:3001914|CTX-M-52,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABB59946.1|ARO:3001943|CTX-M-82,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|CAQ42480.1|ARO:3001938|CTX-M-77,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_077767291.1|ARO:3005617|CTX-M-194,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_077767290.1|ARO:3005616|CTX-M-193,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_071846215.1|ARO:3002547|AAC(6')-Ib-cr1,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CBL80615.1|ARO:3001955|CTX-M-95,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|ABB72225.1|ARO:3001915|CTX-M-53,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABO09821.1|ARO:3001940|CTX-M-79,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CAL80726.1|ARO:3001921|CTX-M-60,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_102607456.1|ARO:3005630|CTX-M-207,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_102607455.1|ARO:3005629|CTX-M-206,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|AAR99493.1|ARO:3001896|CTX-M-34,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|UUF82537.1|ARO:3008145|CTX-M-256,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ADY02545.1|ARO:3001960|CTX-M-101,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_100663667.1|ARO:3006931|KLUC-5,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|CAC95175.1|ARO:3001882|CTX-M-20,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|CAD70280.1|ARO:3001890|CTX-M-28,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAT68658.1|ARO:3001873|CTX-M-10,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|AAT70415.1|ARO:3001899|CTX-M-37,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib',0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAZ95872.1|ARO:3001865|CTX-M-2,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_094166899.1|ARO:3005647|CTX-M-224,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CAD89606.1|ARO:3001894|CTX-M-32,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CAD99181.1|ARO:3001893|CTX-M-31,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CAE48335.2|ARO:3002599|AAC6_30_AAC6_Ib,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_088245225.1|ARO:3005627|CTX-M-204,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_088245215.1|ARO:3005625|CTX-M-202,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAV97957.1|ARO:3001933|CTX-M-72,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_088245212.1|ARO:3005626|CTX-M-203,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CAG28417.1|ARO:3001956|CTX-M-96,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_088245211.1|ARO:3001986|CTX-M-127,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAY84742.1|ARO:3001904|CTX-M-42,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAZ14955.1|ARO:3001905|CTX-M-43,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_094009813.1|ARO:3005623|CTX-M-200,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_068981633.1|ARO:3005612|CTX-M-189,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CDG50843.1|ARO:3001962|CTX-M-103,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_065419569.1|ARO:3005609|CTX-M-186,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063859974.1|ARO:3005590|CTX-M-167,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063859959.1|ARO:3002007|CTX-M-150,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABV81082.1|ARO:3001929|CTX-M-68,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ACS32293.1|ARO:3001935|CTX-M-74,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABW86620.2|ARO:3001941|CTX-M-80,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_032495492.1|ARO:3006930|KLUC-4,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_032495491.1|ARO:3006929|KLUC-3,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABX24471.1|ARO:3005115|AAC(6')-Ib-cr5,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_032491875.1|ARO:3006928|KLUC-2,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|NON98701.1|ARO:3005117|AAC(6')-Ib-cr7,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WPW57311.1|ARO:3008159|CTX-M-270,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WNH41474.1|ARO:3008157|CTX-M-268,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063859976.1|ARO:3005592|CTX-M-169,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABY91281.1|ARO:3001930|CTX-M-69,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WKB12816.1|ARO:3008155|CTX-M-266,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|QVO43831.1|ARO:3008136|CTX-M-246,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WHM00223.1|ARO:3008150|CTX-M-261,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WHL55057.1|ARO:3008154|CTX-M-265,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WHL55056.1|ARO:3008153|CTX-M-264,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WHL55055.1|ARO:3008152|CTX-M-263,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WHL55054.1|ARO:3008151|CTX-M-262,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|UBL87559.1|ARO:3008140|CTX-M-251,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|UTS94240.1|ARO:3008143|CTX-M-254,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|UXY93308.1|ARO:3008148|CTX-M-259,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|UXG78560.1|ARO:3008147|CTX-M-258,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|UVW30758.1|ARO:3008146|CTX-M-257,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|QSL96845.1|ARO:3008135|CTX-M-245,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063859984.1|ARO:3005593|CTX-M-170,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063859993.1|ARO:3005595|CTX-M-172,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063859998.1|ARO:3005596|CTX-M-173,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_065419568.1|ARO:3005594|CTX-M-171,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_065187000.1|ARO:3005114|AAC(6')-Ib-cr4,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABI34705.1|ARO:3001917|CTX-M-55,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_064511491.1|ARO:3005607|CTX-M-184,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_104009847.1|ARO:3005601|CTX-M-178,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_064511490.1|ARO:3005606|CTX-M-183,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ACY74743.1|ARO:3001952|CTX-M-92,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ACV92002.1|ARO:3001932|CTX-M-71,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ACU00153.1|ARO:3001974|CTX-M-114,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABM97538.1|ARO:3001919|CTX-M-58,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABN09669.1|ARO:3001922|CTX-M-61,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABN48311.1|ARO:3001918|CTX-M-56,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|CFW94147.1|ARO:3003650|CTX-M-166,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860093.1|ARO:3005667|CTX-M-97,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860086.1|ARO:3001948|CTX-M-88,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ENH5532102.1|ARO:3008160|CTX-M-271,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860036.1|ARO:3005605|CTX-M-182,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABP04245.1|ARO:3001923|CTX-M-62,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860035.1|ARO:3005604|CTX-M-181,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860034.1|ARO:3005603|CTX-M-180,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ACS32294.1|ARO:3001936|CTX-M-75,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|ABQ45409.1|ARO:3001927|CTX-M-66,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860025.1|ARO:3005602|CTX-M-179,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860019.1|ARO:3005600|CTX-M-177,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_063860014.1|ARO:3005599|CTX-M-176,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_063860009.1|ARO:3005598|CTX-M-175,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_068981632.1|ARO:3005611|CTX-M-188,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_104009848.1|ARO:3005610|CTX-M-187,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_102607454.1|ARO:3002004|CTX-M-146,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|BAD16611.1|ARO:3001898|CTX-M-36,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AEM44651.1|ARO:3001968|CTX-M-108,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AIS67612.1|ARO:3003164|CTX-M-156,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAL51021.2|ARO:3002598|ANT3II_ANT6II,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|WP_124042715.1|ARO:3007770|aac(6')-Ib-cr10,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AEM44650.1|ARO:3001967|CTX-M-107,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|BDD95705.1|ARO:3008142|CTX-M-253,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|BDS51134.1|ARO:3008229|KLUC-6,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|AAL82588.1|ARO:3002600|AAC_3Ib_AAC_6Ib,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AIS67611.1|ARO:3003163|CTX-M-155,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AAL86924.1|ARO:3001884|CTX-M-22,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|AAL99990.1|ARO:3001885|CTX-M-23,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_188331864.1|ARO:3005660|CTX-M-237,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|BFR97113.1|ARO:3008161|CTX-M-272,0.0,2.130669987135779e-14,53,0,4.936848861752906e-13
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_188331865.1|ARO:3005661|CTX-M-238,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_156658722.1|ARO:3005659|CTX-M-236,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AIL54055.1|ARO:3001975|CTX-M-115,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|WP_204376225.1|ARO:3005666|CTX-M-244,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
gb|AIS67613.1|ARO:3003165|CTX-M-157,0.0,5.91852774204383e-14,52,0,4.936848861752906e-13
